"Image","Name","Price","Discount","Rating"
"https://images.meesho.com/images/products/62710180/yvlfc_512.jpg","blue embrodiery dress","₹343","23%","3.7"
"https://images.meesho.com/images/products/62144522/zr8e1_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-053","₹347","22%","NULL"
"https://images.meesho.com/images/products/62182846/mdmun_512.jpg","Clostow Denim Dress","₹1468","6%","NULL"
"https://images.meesho.com/images/products/62704393/dbjoe_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62702487/dhzqd_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62704738/pmikb_512.jpg","Dress","₹488","17%","4.0"
"https://images.meesho.com/images/products/62732360/hj6ap_512.jpg","R K Textiles Women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62697074/fit7u_512.jpg","Urbane Sensational Women Dresses","₹297","25%","3.9"
"https://images.meesho.com/images/products/62720339/qxpks_512.jpg","R K Textiles Women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62701768/olvvf_512.jpg","sikvansh_musturd","₹967","9%","3.8"
"https://images.meesho.com/images/products/62729386/scqo1_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62160540/qx66v_512.jpg","collor long dress","₹397","20%","3.9"
"https://images.meesho.com/images/products/62712609/cccxt_512.jpg","R K Textiles Women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62725635/3uatz_512.jpg","RENJA WESTERN Designer piece green Dresses","₹730","12%","3.6"
"https://images.meesho.com/images/products/62730829/bcse1_512.jpg","plating plain dresses","₹264","27%","3.7"
"https://images.meesho.com/images/products/62728718/rfuzj_512.jpg","R K Textiles women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62730331/0hih2_512.jpg","gown","₹447","18%","NULL"
"https://images.meesho.com/images/products/62690713/pp2dv_512.jpg","Kurti gown dress top","₹467","18%","NULL"
"https://images.meesho.com/images/products/62698768/3blq8_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62714568/rxq4v_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62142958/lswok_512.jpg","Dresses","₹197","30%","3.5"
"https://images.meesho.com/images/products/62715709/out1y_512.jpg","maxidress","₹628","14%","3.7"
